date_of_event,age,citizenship,event_location,event_location_district,event_location_region,date_of_death,gender,took_part_in_the_hostilities,place_of_residence,place_of_residence_district,type_of_injury,ammunition,killed_by,DESIRED_FORMAT,age_group
20-05-2021,35,Palestinian,Khan Yunis,Khan Yunis,Gaza Strip,20-05-2021,F,No,Khan Yunis,Khan Yunis,gunfire,missile,Israeli security forces,May 2021,15-44
20-05-2021,22,Palestinian,Jabalya,North Gaza,Gaza Strip,20-05-2021,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
20-05-2021,26,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,20-05-2021,M,Yes,al-'Atatrah,North Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
19-05-2021,32,Palestinian,Gaza City,Gaza,Gaza Strip,19-05-2021,M,Unknown,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
19-05-2021,40,Palestinian,Deir al-Balah,Deir al-Balah,Gaza Strip,01-06-2022,M,Yes,Deir al-Balah,Deir al-Balah,gunfire,missile,Israeli security forces,May 2021,15-44
19-05-2021,31,Palestinian,Jabalya,North Gaza,Gaza Strip,19-05-2021,M,Yes,Jabalya,North Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
19-05-2021,10,Palestinian,Jabalya,North Gaza,Gaza Strip,19-05-2021,F,No,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
19-05-2021,20,Palestinian,Gaza City,Gaza,Gaza Strip,19-05-2021,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
19-05-2021,22,Palestinian,Gaza City,Gaza,Gaza Strip,19-05-2021,M,Yes,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
19-05-2021,32,Palestinian,Beit Hanoun,North Gaza,Gaza Strip,19-05-2021,M,Unknown,Beit Hanun,North Gaza,gunfire,shell,Israeli security forces,May 2021,15-44
19-05-2021,63,Palestinian,Juhor a-Dik,Gaza,Gaza Strip,19-05-2021,M,No,Gaza city,Gaza,gunfire,live ammunition,Israeli security forces,May 2021,45-64
18-05-2021,22,Palestinian,Khuza'ah,Khan Yunis,Gaza Strip,24-05-2021,M,No,Khuza'a,Khan Yunis,gunfire,missile,Israeli security forces,May 2021,15-44
18-05-2021,19,Palestinian,Gaza City,Gaza,Gaza Strip,18-05-2021,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
17-05-2021,42,Palestinian,Gaza City,Gaza,Gaza Strip,17-05-2021,M,Unknown,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
17-05-2021,28,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,17-05-2021,M,Yes,Jabalya R.C.,North Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
17-05-2021,54,Palestinian,Gaza City,Gaza,Gaza Strip,17-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,45-64
17-05-2021,10,Palestinian,Gaza City,Gaza,Gaza Strip,17-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
17-05-2021,36,Palestinian,Jabalya R.C.,North Gaza,Gaza Strip,17-05-2021,M,Yes,Beit Hanun,North Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
17-05-2021,24,Palestinian,Gaza City,Gaza,Gaza Strip,17-05-2021,M,Yes,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
17-05-2021,23,Palestinian,Gaza City,Gaza,Gaza Strip,17-05-2021,M,Yes,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
17-05-2021,31,Palestinian,Gaza City,Gaza,Gaza Strip,17-05-2021,M,Yes,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
17-05-2021,30,Palestinian,Gaza City,Gaza,Gaza Strip,17-05-2021,M,Yes,a-Shati' Camp,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
